sentence,subject,verb,object,hinnang
"Mind ei võlu eriti väljavaade saada järgmiseks , ma ei tea ...",väljavaade,saama,võlu,no
Sedavõrd tugevasti on ta ennast presidendiametis rahvale “ mällu sööbinud ” .,tema,sööbima,ise,yes
"Ta saab palka Tulbi spordiklubist , nii et need asjad minusse ei puutu , ” lausub Valdes ja palub järgmisel päeval uuesti helistada .",tema,saama,palk,yes
Me peame aru .,mina,pidama,aru,yes
"Ma ei usalda ennast kosmeetikute kätte , ei ole tihe salongide külastaja .",mina,usaldama,ise,yes
Eesti kohta nii hulle arve esile tuua ei saa .,arve,tooma,hull,no
"Kui Kroonika neid Eesti Kunstimuuseumis hilisõhtul pildistas , lasid tüdrukud hea kõlaga ruumides laulu lahti .",tüdruk,laskma,laul,yes
Ma küpsetan pirukaid ka .,mina,küpsetama,pirukas,yes
"“ Ma polnud kunagi varem kuulnud nii labaseid jutte , nagu kuulsin nende naistega ühes toas töötades !",mina,kuulma,jutt,yes
Seda nendib ametlik statistika .,statistika,nentima,see,yes
Me kõik teame väga hästi tema tegevust okupatsiooniajal .,mina,teadma,tegevus,yes
Modelliagentuuri MASS juhivad Oleg ja Raul kahepeale .,mass,juhtima,Oleg,no
Just lähedus emaga toob hilisemas elus kaasa vaimselt tasakaalustatud kodaniku .,lähedus,tooma,kodanik,yes
"Hansapank on laenanud välisturgudelt 800 miljonit krooni , Tallinna Pank 400 miljonit , Ühispank 400 miljonit , Hoiupank 560 miljonit ; sama teed lähevad varsti ka väiksemad pangad .",Hansapank,laenama,kroon,yes
"Ma kannan aeg-ajalt vanaema kingitud pärleid ning abikaasalt saadud ketti , ” ütleb Ute , kes hindab traditsioonidega seotud esemeid .",mina,kandma,pärl,yes
"Kuid põhimõtteliselt peaks Palestiina omavalitsus saama endale nüüd suure osa soovitust , Iisraelile jäävad juutide asundused linnades ning Iisraeli sõjaväebaasid .",omavalitsus,saama,soovitus,yes
Vähemalt nii on väitnud lepingu lõpetanud Nõmme põhikooli direktor Karli Klaas .,direktor,lõpetama,leping,no
"Kuigi arstid ja massöörid saavad need enamasti kiiresti kontrolli alla , võivad need mõnikord tantsija mitmeks kuuks rajalt maha võtta .",see,võtma,tantsija,yes
EBRD hinnangul annab erasektor praegu umbes 70 protsenti meie sisemajanduse kogutoodangust .,erasektor,andma,protsent,yes
"Et rikkad tädid teevad sel ajal , kui nende mehed raha teenivad , ka midagi .",tädi,tegema,miski,yes
Ülejäänud poole kogu talu sissetulekust andsid mitmed väiksemad ettevõtmised .,ettevõtmine,andma,pool,yes
"Kui kõik läheb plaanitult , avab jõulude ajal Tallinnas Vesse tänaval ( Peterburi maantee lähedal ) uksed suurim SPAR-i supermarket , mis vastab EuroSPAR-i standardile .",supermarket,avama,uks,yes
Veepiirile ihkavaid autojuhte see ei pidurda .,see,pidurdama,autojuht,yes
"Mees kosis teist korda sama naist - sest olles lahutanud abielu , tundus mõne aja möödudes mõlemale , et tema OLIGI see õige !",mees,kosima,naine,yes
Heino ja Ines Rannap pooldasid ses suhtes askeetlikku kasvatust .,Heino,pooldama,kasvatus,yes
"Aga mu töö huvitab mind nii palju , et mul on lihtsam öelda oma eraelule “ ei ” ja tööle “ jah ” .",töö,huvitama,mina,yes
"Tema neli last oksendasid öö läbi , kui ema keetis toiduks koduaia köögivilja .",laps,oksendama,öö,no
"Aga sõda ei vallandanud serbia ega bosnia rahvas , vaid poliitikud .",sõda,vallandama,rahvas,no
"Ent paljuks ei pea suu korrashoiu eest rohkem maksta ka paljud õpetajad , kultuuritegelased ja muu “ maisem ” kontingent .",õpetaja,maksma,suu,no
Ta saadab toimetustesse kirjade koopiaid ja on alati nõus ajakirjanikega suhtlema .,tema,saatma,koopia,yes
Kuid miks peab üks inimene justkui Jeesus Kristus lunastama kõik Eesti panganduse ja majanduse kasvuraskused ning nendest sündinud eksimused ?,inimene,lunastama,pangandus,no
"Olegi hästi tundvad inimesed kinnitavad aga tõsiasja , et juba siis oli Ljadovite abielu sisuliselt läbi .",inimene,kinnitama,tõsiasi,yes
"“ Miski , keegi , mingi vaim jälitas meid kõiki üle elu kõrbe ja oli määratud meid tabama , enne kui me taevasse jõuame .",vaim,jälitama,mina,yes
“ Mind vahel häirib materiaalse kindlustunde puudumine .,puudumine,häirima,mina,yes
"Vesta Reest Salt Lake City sõjakäiguga miljoneid kroone teeninud ANDRUS VEERPALU mäletab ka aegu , mil tal tuli treener Mati Alaverilt toiduraha laenata .",Andrus,mäletama,aeg,yes
"Aga minule serveeris ta asja ettevaatlikult , kartes , et äkki ma pettun , ” räägib Mari-Ann Kelam .",tema,serveerima,asi,yes
Mis teeks sind veel õnnelikumaks ?,mis,tegema,sina,yes
Kas sinu aktsent võlub naisi ?,aktsent,võluma,naine,yes
"“ See annab teadmise , et ei tee tühja tööd .",see,andma,teadmine,yes
"“ Eks ma panen ka roosad kummikud jalga ja lähen Draamateatri ette piketeerima , ” viskab kibestunud Riisalu mõru nalja .",mina,panema,kummik,yes
"Nii argentiinlased kui ka välisinvestorid viisid oma raha riigist välja , intressimäärad tõusid järsult ja jaanuaris hüljati valuutakomitee süsteem .",argentiinlane,viima,raha,yes
“ Tundeid vene mees ei häbene .,mees,häbenema,tunne,yes
"Vähendab ju sotsiaalmaksu asendamine pensionifondide maksetega riigi maksutulusid , samas tuleb riigil endiselt ülal pidada varem pensionile siirdunud inimesi .",asendamine,vähendama,maksutulu,yes
